iter	Passed	Remaining
0	0	267
1	0	223
2	0	203
3	0	198
4	0	191
5	1	184
6	1	181
7	1	177
8	1	175
9	1	174
10	1	172
11	2	170
12	2	169
13	2	169
14	2	168
15	2	168
16	2	167
17	3	166
18	3	166
19	3	166
20	3	166
21	3	165
22	3	165
23	4	165
24	4	164
25	4	164
26	4	163
27	4	163
28	4	162
29	5	162
30	5	161
31	5	161
32	5	161
33	5	160
34	5	160
35	5	160
36	6	160
37	6	160
38	6	160
39	6	159
40	6	159
41	6	159
42	7	159
43	7	159
44	7	158
45	7	158
46	7	158
47	7	158
48	8	158
49	8	158
50	8	158
51	8	157
52	8	158
53	9	157
54	9	157
55	9	157
56	9	157
57	9	157
58	9	157
59	10	157
60	10	157
61	10	157
62	10	157
63	10	157
64	10	157
65	11	157
66	11	157
67	11	157
68	11	156
69	11	156
70	11	156
71	12	156
72	12	156
73	12	156
74	12	156
75	12	156
76	13	156
77	13	156
78	13	156
79	13	156
80	13	156
81	13	155
82	14	155
83	14	155
84	14	155
85	14	155
86	14	155
87	14	155
88	15	154
89	15	154
90	15	154
91	15	154
92	15	154
93	15	154
94	16	153
95	16	153
96	16	153
97	16	153
98	16	153
99	17	153
100	17	153
101	17	153
102	17	153
103	17	153
104	17	152
105	18	152
106	18	152
107	18	152
108	18	152
109	18	152
110	19	152
111	19	152
112	19	151
113	19	151
114	19	151
115	19	151
116	20	151
117	20	151
118	20	151
119	20	150
120	20	150
121	20	150
122	21	150
123	21	150
124	21	150
125	21	150
126	21	149
127	21	149
128	22	149
129	22	149
130	22	149
131	22	149
132	22	149
133	23	148
134	23	148
135	23	148
136	23	148
137	23	148
138	23	148
139	24	148
140	24	148
141	24	147
142	24	147
143	24	147
144	25	147
145	25	147
146	25	147
147	25	146
148	25	146
149	25	146
150	26	146
151	26	146
152	26	146
153	26	146
154	26	145
155	26	145
156	27	145
157	27	145
158	27	145
159	27	145
160	27	144
161	27	144
162	28	144
163	28	144
164	28	144
165	28	144
166	28	144
167	29	143
168	29	143
169	29	143
170	29	143
171	29	143
172	29	143
173	30	142
174	30	142
175	30	142
176	30	142
177	30	142
178	31	142
179	31	142
180	31	142
181	31	141
182	31	141
183	31	141
184	32	141
185	32	141
186	32	141
187	32	141
188	32	140
189	33	140
190	33	140
191	33	140
192	33	140
193	33	140
194	33	139
195	34	139
196	34	139
197	34	139
198	34	139
199	34	139
200	34	138
201	35	138
202	35	138
203	35	138
204	35	138
205	35	138
206	35	137
207	36	137
208	39	149
209	39	149
210	39	149
211	40	149
212	40	148
213	40	148
214	40	148
215	40	148
216	41	147
217	41	147
218	41	147
219	41	147
220	41	146
221	41	146
222	42	146
223	42	146
224	42	146
225	42	145
226	42	145
227	42	145
228	43	145
229	43	144
230	43	144
231	43	144
232	43	144
233	43	143
234	44	143
235	44	143
236	44	143
237	44	142
238	44	142
239	44	142
240	45	141
241	45	141
242	45	141
243	45	141
244	45	140
245	45	140
246	46	140
247	46	140
248	46	140
249	46	139
250	46	139
251	46	139
252	47	139
253	47	138
254	47	138
255	47	138
256	47	138
257	47	137
258	48	137
259	48	137
260	48	137
261	48	136
262	48	136
263	48	136
264	49	136
265	49	135
266	49	135
267	49	135
268	49	135
269	49	134
270	50	134
271	50	134
272	50	134
273	50	133
274	50	133
275	50	133
276	51	133
277	51	132
278	51	132
279	51	132
280	51	132
281	51	131
282	51	131
283	52	131
284	52	130
285	52	130
286	52	130
287	52	130
288	52	129
289	52	129
290	52	129
291	53	128
292	53	128
293	53	128
294	53	127
295	53	127
296	53	127
297	53	127
298	54	126
299	54	126
300	54	126
301	54	125
302	54	125
303	54	125
304	54	125
305	55	124
306	55	124
307	55	124
308	55	124
309	55	123
310	55	123
311	55	123
312	56	123
313	56	122
314	56	122
315	56	122
316	56	122
317	56	122
318	57	121
319	57	121
320	57	121
321	57	121
322	57	120
323	57	120
324	57	120
325	58	120
326	58	119
327	58	119
328	58	119
329	58	119
330	58	118
331	58	118
332	59	118
333	59	118
334	59	117
335	59	117
336	59	117
337	59	117
338	59	116
339	60	116
340	60	116
341	60	116
342	60	116
343	60	115
344	60	115
345	60	115
346	61	115
347	61	114
348	61	114
349	61	114
350	61	114
351	61	114
352	62	113
353	62	113
354	62	113
355	62	113
356	62	112
357	62	112
358	62	112
359	63	112
360	63	111
361	63	111
362	63	111
363	63	111
364	63	111
365	63	110
366	64	110
367	64	110
368	64	110
369	64	109
370	64	109
371	64	109
372	65	109
373	65	109
374	65	108
375	65	108
376	65	108
377	65	108
378	65	108
379	66	107
380	66	107
381	66	107
382	66	107
383	66	106
384	66	106
385	66	106
386	67	106
387	67	106
388	67	105
389	67	105
390	67	105
391	67	105
392	68	105
393	68	104
394	68	104
395	68	104
396	68	104
397	68	104
398	68	103
399	69	103
400	69	103
401	69	103
402	69	103
403	69	102
404	69	102
405	70	102
406	70	102
407	70	102
408	70	101
409	70	101
410	70	101
411	70	101
412	71	101
413	71	100
414	71	100
415	71	100
416	71	100
417	71	99
418	71	99
419	72	99
420	72	99
421	72	99
422	72	98
423	72	98
424	72	98
425	72	98
426	73	98
427	73	97
428	73	97
429	73	97
430	73	97
431	73	97
432	74	96
433	74	96
434	74	96
435	74	96
436	74	96
437	74	95
438	74	95
439	75	95
440	75	95
441	75	95
442	75	94
443	75	94
444	75	94
445	75	94
446	76	94
447	76	93
448	76	93
449	76	93
450	76	93
451	76	93
452	76	92
453	77	92
454	77	92
455	77	92
456	77	92
457	77	91
458	77	91
459	78	91
460	78	91
461	78	91
462	78	91
463	78	90
464	79	91
465	79	91
466	80	91
467	80	91
468	80	90
469	80	90
470	80	90
471	80	90
472	80	90
473	81	90
474	81	89
475	81	89
476	81	89
477	81	89
478	81	89
479	82	88
480	82	88
481	82	88
482	82	88
483	82	88
484	82	87
485	83	87
486	83	87
487	83	87
488	83	87
489	83	87
490	83	86
491	83	86
492	84	86
493	84	86
494	84	86
495	84	85
496	84	85
497	84	85
498	84	85
499	85	85
500	85	84
501	85	84
502	85	84
503	85	84
504	85	84
505	85	83
506	86	83
507	86	83
508	86	83
509	86	83
510	86	83
511	86	82
512	87	82
513	87	82
514	87	82
515	87	82
516	87	82
517	87	81
518	88	81
519	88	81
520	88	81
521	88	81
522	88	80
523	88	80
524	89	80
525	89	80
526	89	80
527	89	79
528	89	79
529	89	79
530	89	79
531	90	79
532	90	79
533	90	78
534	90	78
535	90	78
536	90	78
537	90	78
538	91	77
539	91	77
540	91	77
541	91	77
542	91	77
543	91	76
544	91	76
545	92	76
546	92	76
547	92	76
548	92	75
549	92	75
550	92	75
551	92	75
552	93	75
553	93	75
554	93	74
555	93	74
556	93	74
557	93	74
558	93	74
559	94	73
560	94	73
561	94	73
562	94	73
563	94	73
564	94	72
565	94	72
566	95	72
567	95	72
568	95	72
569	95	72
570	95	71
571	95	71
572	95	71
573	96	71
574	96	71
575	96	70
576	96	70
577	96	70
578	96	70
579	96	70
580	97	70
581	97	69
582	97	69
583	97	69
584	97	69
585	97	69
586	97	68
587	98	68
588	98	68
589	98	68
590	98	68
591	98	68
592	98	67
593	99	67
594	99	67
595	99	67
596	99	67
597	99	66
598	99	66
599	99	66
600	100	66
601	100	66
602	100	66
603	100	65
604	100	65
605	100	65
606	100	65
607	101	65
608	101	64
609	101	64
610	101	64
611	101	64
612	101	64
613	101	64
614	102	63
615	102	63
616	102	63
617	102	63
618	102	63
619	102	62
620	102	62
621	103	62
622	103	62
623	103	62
624	103	62
625	103	61
626	103	61
627	103	61
628	104	61
629	104	61
630	104	61
631	104	60
632	104	60
633	104	60
634	104	60
635	105	60
636	105	59
637	105	59
638	105	59
639	105	59
640	105	59
641	105	59
642	106	58
643	106	58
644	106	58
645	106	58
646	106	58
647	106	58
648	107	57
649	107	57
650	107	57
651	107	57
652	107	57
653	107	56
654	107	56
655	108	56
656	108	56
657	108	56
658	108	56
659	108	56
660	108	55
661	109	55
662	109	55
663	109	55
664	109	55
665	109	54
666	109	54
667	109	54
668	110	54
669	110	54
670	110	54
671	110	53
672	110	53
673	110	53
674	110	53
675	111	53
676	111	53
677	111	52
678	111	52
679	111	52
680	111	52
681	112	52
682	112	52
683	112	51
684	112	51
685	112	51
686	112	51
687	112	51
688	113	51
689	113	50
690	113	50
691	113	50
692	113	50
693	113	50
694	113	50
695	114	49
696	114	49
697	114	49
698	114	49
699	114	49
700	114	49
701	115	48
702	115	48
703	115	48
704	115	48
705	115	48
706	115	48
707	115	47
708	116	47
709	116	47
710	116	47
711	116	47
712	116	46
713	116	46
714	117	46
715	117	46
716	117	46
717	117	46
718	117	45
719	117	45
720	117	45
721	118	45
722	118	45
723	118	45
724	118	44
725	118	44
726	118	44
727	118	44
728	119	44
729	119	44
730	119	43
731	119	43
732	119	43
733	119	43
734	119	43
735	120	43
736	120	42
737	120	42
738	120	42
739	120	42
740	120	42
741	120	42
742	121	41
743	121	41
744	121	41
745	121	41
746	121	41
747	121	41
748	121	40
749	122	40
750	122	40
751	122	40
752	122	40
753	122	40
754	122	39
755	123	39
756	123	39
757	123	39
758	123	39
759	123	39
760	123	38
761	124	38
762	124	38
763	124	38
764	124	38
765	124	38
766	124	37
767	125	37
768	125	37
769	125	37
770	125	37
771	125	37
772	125	36
773	125	36
774	126	36
775	126	36
776	126	36
777	126	36
778	126	35
779	126	35
780	127	35
781	127	35
782	127	35
783	127	35
784	127	34
785	127	34
786	127	34
787	128	34
788	128	34
789	128	34
790	128	33
791	128	33
792	128	33
793	128	33
794	129	33
795	129	33
796	129	32
797	129	32
798	129	32
799	129	32
800	129	32
801	130	32
802	130	31
803	130	31
804	130	31
805	130	31
806	130	31
807	130	31
808	131	30
809	131	30
810	131	30
811	131	30
812	131	30
813	131	30
814	131	29
815	132	29
816	132	29
817	132	29
818	132	29
819	132	29
820	132	28
821	132	28
822	133	28
823	133	28
824	133	28
825	133	28
826	133	27
827	133	27
828	133	27
829	134	27
830	134	27
831	134	27
832	134	26
833	134	26
834	134	26
835	135	26
836	135	26
837	135	26
838	135	26
839	135	25
840	135	25
841	135	25
842	136	25
843	136	25
844	136	25
845	136	24
846	136	24
847	136	24
848	136	24
849	137	24
850	137	24
851	137	23
852	137	23
853	137	23
854	137	23
855	138	23
856	138	23
857	138	22
858	138	22
859	138	22
860	138	22
861	138	22
862	139	22
863	139	21
864	139	21
865	139	21
866	139	21
867	139	21
868	139	21
869	140	20
870	140	20
871	140	20
872	140	20
873	140	20
874	140	20
875	140	19
876	141	19
877	141	19
878	141	19
879	141	19
880	141	19
881	141	18
882	141	18
883	142	18
884	142	18
885	142	18
886	142	18
887	142	17
888	142	17
889	142	17
890	143	17
891	143	17
892	143	17
893	143	17
894	143	16
895	143	16
896	143	16
897	144	16
898	144	16
899	144	16
900	144	15
901	144	15
902	144	15
903	144	15
904	145	15
905	145	15
906	145	14
907	145	14
908	145	14
909	145	14
910	145	14
911	146	14
912	146	13
913	146	13
914	146	13
915	146	13
916	146	13
917	146	13
918	147	12
919	147	12
920	147	12
921	147	12
922	147	12
923	147	12
924	147	11
925	148	11
926	148	11
927	148	11
928	148	11
929	148	11
930	148	11
931	148	10
932	149	10
933	149	10
934	149	10
935	149	10
936	149	10
937	149	9
938	149	9
939	150	9
940	150	9
941	150	9
942	150	9
943	150	8
944	150	8
945	150	8
946	151	8
947	151	8
948	151	8
949	151	7
950	151	7
951	151	7
952	151	7
953	152	7
954	152	7
955	152	7
956	152	6
957	152	6
958	152	6
959	153	6
960	153	6
961	153	6
962	153	5
963	153	5
964	153	5
965	153	5
966	154	5
967	154	5
968	154	4
969	154	4
970	154	4
971	154	4
972	154	4
973	154	4
974	155	3
975	155	3
976	155	3
977	155	3
978	155	3
979	155	3
980	156	3
981	156	2
982	156	2
983	156	2
984	156	2
985	156	2
986	156	2
987	157	1
988	157	1
989	157	1
990	157	1
991	157	1
992	157	1
993	157	0
994	158	0
995	158	0
996	158	0
997	158	0
998	158	0
999	158	0
